Scope,Node Name,Affinity,RFP App Name,Instance,Entity Type,Phy Loc,Target Region,Consuming Customer,Current Region,CPU,Avg CPU Load,Peak CPU Load,CPU Speed (MHz),Processing Type,Mem (MB),Avg % Mem Used,Peak Mem Used,Storage Type,Alloc Size (GB),Used Size (GB),Platform,OS Ver,DB Rel/Ver,Operational Backups Policy,Resilliency / DR Classification,Current State Services,DB Instance Count,Shared Env App Count,Other Software,Validated Server,Encryption,SOX Critical,External Access
Primary,GADC-ACLAXG001,ACL AX (AuditExchange),-,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,2,0.08,0.94,"2,700", -   ,8192,0.72,6.98,Standard,0,0,WINDOWS,windows_2012_r2_server_standard_edition_x64,,In Region Backup,0,AIS,,0,,N,Y,0,
Primary,GADC-ACLG001,ACL AX (AuditExchange),0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.1,1,"2,700", -   ,16384,0.31,9.4,Standard,0,0,WINDOWS,windows_2012_r2_server_standard_edition_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,GADC-ACLG002,ACL AX (AuditExchange),-,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.09,1,"2,700", -   ,16384,0.49,10.51,Standard,0,0,WINDOWS,windows_2012_r2_server_standard_edition_x64,,In Region Backup,0,AIS,,0,,N,Y,0,
Primary,GADC-ACLG003,ACL AX (AuditExchange),-,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.06,1,"2,700", -   ,16384,0.3,8.5,Standard,0,0,WINDOWS,windows_2012_r2_server_standard_edition_x64,,In Region Backup,0,AIS,,0,,N,Y,0,
Primary,GADC-ACOE02,ACO,0,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,8,0.04,0.44,"2,400", AIS Core Adv ,32768,0.21,9.88,Standard Plus,1135604,34672,WINDOWS,6.2.9200,,Secondary Region Backup,0,Prod,,0,,N,Y,0,
Primary,BDC-EXTRA125,AdCosts,AdCosts,AdCosts::AdCosts Release::AdCosts - Production,Virtual,BLUE ASH DATA CENTER-BDC,NA,N/A,NA,4,0.09,0.68,"2,400", AIS Core Std ,4096,0.71,3.71,Economy,430070,273394,WINDOWS,6.0.6002,,In Region Backup,N,Prod,,0,,N,Y,0,DMZ IP
Primary,BDC-EXTRA195,AdCosts,AdCosts,AdCosts::AdCosts Release::Adcosts - QA,Virtual,BLUE ASH DATA CENTER-BDC,NA,N/A,NA,4,0.09,0.79,"2,400", VMWare ,8192,0.29,5.24,Standard,184310,39772,WINDOWS,6.2.9200,,In Region Backup,0,Prod,,18,IIS IIS8,N,Y,0,DMZ IP
Primary,BDC-EXTRA196,AdCosts,AdCosts,AdCosts::AdCosts Release::AdCosts - Production,Virtual,BLUE ASH DATA CENTER-BDC,NA,0,NA,4,0,0,"2,400", -   ,8192,0,0,Standard,122870,63681,WINDOWS,6.2.9200,,In Region Backup,0,Prod,,0,,N,Y,0,DMZ IP
Primary,BDC-EXTRA197,AdCosts,AdCosts,AdCosts::AdCosts Release::AdCosts - Production,Virtual,BLUE ASH DATA CENTER-BDC,NA,0,NA,4,0,0,"2,400", -   ,8192,0,0,Standard,122870,57525,WINDOWS,6.2.9200,,In Region Backup,0,Prod,,0,,N,Y,0,DMZ IP
Primary,BDC-FEDEX003,ADDC,Federation Services,,Virtual,BLUE ASH DATA CENTER-BDC,NA,N/A,NA,2,0.17,1,"2,400", AIS Core Std ,32768,0.12,4.99,Standard,307186,114600,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,DMZ IP
Primary,BDC-LIMASQL001,ADDC,Active Directory (PG.com Forest),Active Directory (PG.com Forest)::Active Directory (PG.com Forest) v2012::Active Directory (PG.com Forest) v2012 - Production Instance,Virtual,BLUE ASH DATA CENTER-BDC,NA,N/A,NA,4,0.07,1,"2,400", AIS Core Std ,16384,0.31,6.21,Economy,270315,50142,WINDOWS,6.2.9200,SQL 2012 SP3 (11.0.6020.0),In Region Backup,0,Prod,1,0,,N,Y,N,
Primary,BRU-FEDEX001,ADDC,Federation,,Virtual,HP WYNYARD DATA CENTRE,EU,CF-IT,EMEA,2,0.32,1,"2,600", AIS Core Std ,32768,0.17,6.95,Economy,0,0,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,BRU-FEDPS001,ADDC,Federation,,Virtual,HP WYNYARD DATA CENTRE,EU,CF-IT,EMEA,4,0.17,1,"2,700", AIS Core Std ,32768,0.16,23.83,Economy,199665,65237,WINDOWS,6.0.6002,,In Region Backup,N,Prod,,0,,N,Y,0,
Primary,GADC-APDEVDC400,ADDC,Active Directory,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,CF-IT,NA,8,0,0,"2,400", AIS Core Std ,32768,0,0,Economy,767988,44757,WINDOWS,6.3.9600,,Secondary Region Backup,0,Dev,,0,,N,Y,0,
Primary,GADC-CNDEVDC400,ADDC,Active Directory,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,CF-IT,NA,8,0,0,"2,400", AIS Core Std ,32768,0,0,Economy,767988,43438,WINDOWS,6.3.9600,,Secondary Region Backup,0,Dev,,0,,N,Y,0,
Primary,GADC-EUDEVDC400,ADDC,Active Directory,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,CF-IT,NA,8,0,0,"2,400", AIS Core Std ,32768,0,0,Economy,767988,23107,WINDOWS,6.3.9600,,Secondary Region Backup,0,Dev,,0,,N,Y,0,
Primary,GADC-LADEVDC400,ADDC,Active Directory,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,CF-IT,NA,8,0,0,"2,400", AIS Core Std ,32768,0,0,Economy,767988,23097,WINDOWS,6.3.9600,,Secondary Region Backup,0,Dev,,0,,N,Y,0,
Primary,GADC-PGDEVDC400,ADDC,Active Directory,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,CF-IT,NA,8,0,0,"2,400", AIS Core Std ,32768,0,0,Economy,767988,37391,WINDOWS,6.3.9600,,Secondary Region Backup,0,Dev,,0,,N,Y,0,
Primary,USALSDUR101,ADDC,ADFS,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,GBS-IT SOLUTIONS,NA,4,0,0,"2,700", Customer supplied ,8192,0,0,Standard,0,10,WINDOWS,0,,Secondary Region Backup,0,Prod,,0,,N,Y,0,
Primary,USALSDUR102,ADDC,ADFS,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,GBS-IT SOLUTIONS,NA,4,0,0,"2,700", Customer supplied ,8192,0,0,Standard,0,10,WINDOWS,0,,Secondary Region Backup,0,Prod,,0,,N,Y,0,
Primary,WYN-FEDEX002,ADDC,Federation,,Virtual,HP WYNYARD DATA CENTRE,EU,CF-IT,EMEA,2,0.06,1,"2,600", AIS Core Std ,32768,0.09,4.36,Economy,0,0,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,WYN-FEDEX003,ADDC,Federation,,Virtual,HP WYNYARD DATA CENTRE,EU,CF-IT,EMEA,2,0.27,1,"2,600", AIS Core Std ,32768,0.12,8.86,Economy,307187,106639,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,WYN-FEDPS001,ADDC,0,,Virtual,HP WYNYARD DATA CENTRE,EU,CF-IT,EMEA,4,0.06,1,"2,700", AIS Core Std ,32768,0.13,11.32,Economy,307190,69147,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLG2985,ADGL,4219967-prod-Apache-fab4u,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,GBU-FHC-FABRIC CARE,NA,2,0.04,0.56,"2,667", AIS Core Std ,3832,0.21,832.96,Standard Plus,94146,5592,LINUX,Red Hat release 6.4,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLG2299,ADLG,0,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,2,0.05,1,"2,700", AIS Core Std ,7872,0.81,7.57,Standard Plus,97663,6490,LINUX,Red Hat release 6.4,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLG3869,ADLG,PROD Oracle Shared hosting database server,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,16,0.25,0.97,"2,700", -   ,128536,0.12,8.86,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,OBRU,15,0,,N,Y,N,
Primary,ADLG3892,ADLG,Tomcat Hosting PROD,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.01,0.45,"2,700", -   ,32110,0.08,2.96,Standard,0,0,LINUX,RHEL 6.X,,In Region Backup,0,OBRU,,2,Tomcat 1.7.1,N,Y,0,
Primary,ADLG3893,ADLG,Hosting PROD,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.03,0.53,"2,700", -   ,32110,0.09,9.97,Standard,0,0,LINUX,RHEL 6.X,,In Region Backup,0,OBRU,,2,Tomcat 1.7.1,N,Y,0,
Primary,ADLG3897,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.05,0.32,"2,700", -   ,32109,0.31,9.93,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,OLAP 11g,In Region Backup,0,,0,0,,N,Y,0,
Primary,ADLG3899,ADLG,-,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0.01,0.24,"2,700", -   ,64028,0.13,4.17,Standard,0,0,LINUX,red_hat_enterprise_server_7.3,Oracle Database 11g R2,In Region Backup,0,ALICS,0,0,,N,Y,0,
Primary,ADLG3909,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,16,0.01,0.52,"2,700", -   ,128532,0.51,36.61,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3912,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.01,1,"2,700", -   ,31774,0.27,4.59,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3913,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0,0.22,"2,700", -   ,31774,0.14,11.21,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3914,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0,0.74,"2,700", -   ,31774,0.1,4.45,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3916,ADLG,-,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0,0.42,"2,700", -   ,31774,0.12,2.04,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,AIS,1,0,,N,Y,N,
Primary,ADLG3917,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,1,0.11,1,"2,700", -   ,5696,0.44,1.34,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3919,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,1,0.03,0.27,"2,700", -   ,7584,0.36,1.84,Standard,0,0,LINUX,red_hat_enterprise_server_7.3,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3920,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0.36,0.8,"2,700", -   ,64024,0.28,9.8,Standard,0,0,LINUX,red_hat_enterprise_server_7.3,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3921,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,16,0.28,0.99,"2,700", -   ,112406,0.91,54.45,Standard,0,0,LINUX,red_hat_enterprise_server_7.3,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3923,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0.45,0.93,"2,700", -   ,64026,0.84,29.58,Standard,0,0,LINUX,red_hat_enterprise_server_7.3,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG3932,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0.01,0.13,"2,700", -   ,64028,0.04,1.27,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,1,Tomcat 1.7.1,N,Y,0,
Primary,ADLG3933,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.15,"2,700", -   ,64028,0.04,1.31,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,1,Tomcat 1.7.1,N,Y,0,
Primary,ADLG3934,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.01,0.27,"2,700", -   ,31774,0.19,3.65,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,1,Tomcat 1.7.1,N,Y,0,
Primary,ADLG5734,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.01,0.2,"2,700", -   ,31774,0.06,1.04,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG5735,ADLG,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0,0.27,"2,700", -   ,31774,0.12,5.95,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLG8200,ADLG,0,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,GBS-FSS,NA,2,0.56,1,"2,000", AIS Core Std ,7867,0.59,6.62,Standard Plus,50709,10865,LINUX,Red Hat release 6.7,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLG8206,ADLG,0,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,4,0.12,1,"2,000", AIS Core Std ,15883,0.45,11.05,Economy,1902678,1525042,LINUX,Red Hat release 7.1,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLG8256,ADLG,0,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,8,0,0.23,"2,000", AIS Core Std ,15884,0.23,3.6,Standard Plus,468955,429,LINUX,Red Hat release 7.1,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLN5732,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.07,"2,700", -   ,63774,0.4,13.28,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,,1,0,,N,Y,N,
Primary,ADLN5737,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,24,0.08,1,"2,700", -   ,192790,0.12,12.95,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,11.2.0.4.0,In Region Backup,0,,1,0,,N,Y,N,
Primary,ADLN6737,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,24,0.06,0.16,"2,700", -   ,192790,0.02,2.16,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9225,ADLN,0,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,8,0.05,0.21,"2,596", Small ,128649,0.04,4.5,Standard Plus,64758,177,LINUX,Red Hat release 7.1,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLN9226,ADLN,0,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,16,0,0.13,"2,596", Large ,128651,0.02,3.66,Standard Plus,1722811,1310269,LINUX,Red Hat release 7.1,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,ADLN9283,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.19,0.47,"2,700", -   ,31522,0.12,2.35,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,AIS,1,0,,N,Y,N,
Primary,ADLN9284,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0.06,0.35,"2,700", -   ,63774,0.09,2.83,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,AIS,3,0,,N,Y,N,
Primary,ADLN9287,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,24,0,0.37,"2,700", -   ,258209,0.53,133.17,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,12.1.0.2.0,In Region Backup,0,AIS,1,0,,N,Y,N,
Primary,ADLN9293,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,16,0.04,0.09,"2,700", -   ,96618,0.04,5.4,Standard,0,0,LINUX,,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9304,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,24,0.05,0.14,"2,700", -   ,902376,0.02,13.65,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,AIS,1,0,,N,Y,N,
Primary,ADLN9305,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,16,0.04,0.57,"2,700", -   ,128935,0.82,104.06,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,12.1.0.2.0,In Region Backup,0,AIS,1,0,,N,Y,N,
Primary,ADLN9306,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,16,0.28,0.99,"2,700", -   ,96618,0.42,70.65,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,,In Region Backup,0,AIS,,0,,N,Y,0,
Primary,ADLN9307,ADLN,-,,Physical,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.25,"2,700", -   ,48141,0.5,36.74,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,,In Region Backup,0,AIS,,0,,N,Y,0,
Primary,ADLN9315,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,24,0.05,0.43,"2,700", -   ,258205,0.09,35.33,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,12.1.0.2.0,In Region Backup,0,,3,0,,N,Y,N,
Primary,ADLN9316,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,24,0.02,0.05,"2,700", -   ,258205,0.01,4.14,Standard,0,0,LINUX,red_hat_enterprise_server_6.5_x64,12.1.0.2.0,In Region Backup,0,,1,0,,N,Y,N,
Primary,ADLN9317,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.11,1,"2,700", -   ,31692,0.3,5.99,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9320,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.2,"2,700", -   ,63946,0.04,1.53,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9322,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.09,"2,700", -   ,63946,0.05,1.63,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9323,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.05,"2,700", -   ,63946,0.05,1.52,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9324,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,8,0,0.12,"2,700", -   ,63946,0.05,1.62,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,0,,N,Y,0,
Primary,ADLN9330,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.64,0.99,"2,700", -   ,31692,0.11,4.32,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,1,WEBLOGIC 12,N,Y,0,
Primary,ADLN9331,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.02,0.25,"2,700", -   ,31692,0.1,2.83,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,,In Region Backup,0,,,1,WEBLOGIC 12,N,Y,0,
Primary,ADLN9332,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.07,0.58,"2,700", -   ,31692,0.1,1.58,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,,2,0,,N,Y,N,
Primary,ADLN9333,ADLN,0,,0%,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,0,,4,0.01,0.17,"2,700", -   ,31692,0.09,1.45,Standard,0,0,LINUX,red_hat_enterprise_server_7.3_x64,12.1.0.2.0,In Region Backup,0,,1,0,,N,Y,N,
Primary,GADC-ADPREPORT,ADP,0,,Virtual,ALPHARETTA - ALPHARETTA NGDC - BT567,NA,N/A,NA,8,0.05,0.63,"2,400", AIS Core Std ,16384,0.32,6.6,Economy,393718,32191,WINDOWS,6.3.9600,SQL 2014 SP2 (12.0.5532.0),In Region Backup,0,Prod,1,0,,N,Y,N,
Primary,BDC-DATP01,Advanced Order Visibility,DAT-AOV (Advanced Order Visibility),DAT-AOV (Advanced Order Visibility)::DAT-AOV (Advanced Order Visibility) v0.0::DAT-AOV Production instance,Virtual,BLUE ASH DATA CENTER-BDC,NA,N/A,NA,12,0.04,1,"2,700", AIS Core Std ,131072,0.1,48.57,Economy,153589,109588,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,
Primary,BDC-BRS001,Advanced Reporting Platform (ARP),Advanced Reporting Platform (ARP),Advanced Reporting Platform (ARP)::ARP v0.0::ARP (Production),Physical,BLUE ASH DATA CENTER-BDC,NA,0,NA,8,0,0,"2,400", -   ,32768,0,0,Economy,1535867,884526,WINDOWS,6.0.6002,,In Region Backup,N,Prod,,0,,N,Y,0,
Primary,BDC-BRS004,Advanced Reporting Platform (ARP),Advanced Reporting Platform (ARP),Advanced Reporting Platform (ARP)::ARP v0.0::ARP (Production),Physical,BLUE ASH DATA CENTER-BDC,NA,0,NA,8,0,0,"2,400", -   ,32758,0,0,Standard,1331193,1076389,WINDOWS,6.0.6002,,Secondary Region Backup,N,Prod,,0,,N,Y,0,
Primary,BDC-BRS006,Advanced Reporting Platform (ARP),Advanced Reporting Platform (ARP),Advanced Reporting Platform (ARP)::ARP v0.0::ARP (Production),Physical,BLUE ASH DATA CENTER-BDC,NA,0,NA,8,0,0,"2,000", -   ,32768,0,0,Standard,1331193,974159,WINDOWS,6.0.6002,,In Region Backup,N,Prod,,0,,N,Y,0,
